연월,위치,이산화황(ppm-1시간),이산화질소(ppm-1시간),일산화탄소(ppm-1시간),오존(ppm-1시간),미세먼지10(ug-m3-24시간),미세먼지25(ug-m2-24시간)
2021-08-01,공단동,0.002,0.01,0.5,0.026,30,12
2021-08-01,원평동,0.003,0.01,0.2,0.023,21,7
2021-08-01,형곡동,0.003,0.009,0.5,0.031,26,13
2021-08-01,4공단,0.002,0.004,0.3,0.025,28,10
2021-08-01,진미동,0.002,0.009,0.5,0.029,23,14
2021-09-01,공단동,0.002,0.01,0.4,0.024,30,15
2021-09-01,원평동,-0.002,-0.011,-0.2,-0.024,-19,-7
2021-09-01,형곡동,0.003,0.009,0.5,0.028,26,9
2021-09-01,4공단,0.001,0.006,0.2,0.027,-17,11
2021-09-01,진미동,0.003,0.01,0.5,0.025,20,13
2021-10-01,공단동,0.002,0.022,0.5,0.018,51,34
2021-10-01,원평동,0.001,0.021,0.3,0.019,41,17
2021-10-01,형곡동,0.003,0.021,0.4,0.024,45,21
2021-10-01,4공단,0.002,0.013,0.3,0.022,37,21
2021-10-01,진미동,0.003,0.023,0.5,0.02,44,28
2021-11-01,공단동,0.002,0.022,0.5,0.018,51,34
2021-11-01,원평동,0.001,0.021,0.3,0.019,41,17
2021-11-01,형곡동,0.003,0.021,0.4,0.024,45,21
2021-11-01,4공단,0.002,0.013,0.3,0.022,37,21
2021-11-01,진미동,0.003,0.023,0.5,0.02,44,28
2021-12-01,공단동,0.003,0.02,0.5,0.017,47,32
2021-12-01,원평동,0.003,0.02,0.3,0.017,38,16
2021-12-01,형곡동,0.002,0.022,0.5,0.021,42,19
2021-12-01,4공단,0.002,0.015,0.3,0.021,32,20
2021-12-01,진미동,0.003,0.02,0.4,0.02,38,27
2022-01-01,공단동,0.003,0.021,0.6,0.02,39,31
2022-01-01,원평동,0.003,0.019,0.3,0.02,38,22
2022-01-01,형곡동,0.001,0.023,0.5,0.023,38,26
2022-01-01,4공단,0.002,0.015,0.4,0.024,36,26
2022-01-01,진미동,0.003,0.021,0.4,0.02,39,27
2022-02-01,공단동,0.003,0.016,0.6,0.03,36,27
2022-02-01,원평동,0.002,0.018,0.2,0.032,37,21
2022-02-01,형곡동,0.001,0.016,0.3,0.034,37,24
2022-02-01,4공단,0.002,0.01,0.3,0.035,33,22
2022-02-01,진미동,0.004,0.017,0.4,0.03,36,23
2022-03-01,공단동,0.003,0.014,0.6,0.033,44,27
2022-03-01,원평동,0.002,0.017,0.2,0.032,49,21
2022-03-01,형곡동,0.002,0.017,0.4,0.034,46,25
2022-03-01,4공단,0.002,0.013,0.2,0.037,44,22
2022-03-01,진미동,0.004,0.018,0.4,0.032,46,22
2022-04-01,공단동,0.003,0.009,0.5,0.044,34,18
2022-04-01,원평동,0.002,0.012,0.1,0.043,38,16
2022-04-01,형곡동,0.002,0.011,0.3,0.044,36,17
2022-04-01,4공단,0.002,0.01,0.2,0.045,36,16
2022-04-01,진미동,0.003,0.013,0.3,0.044,37,14
2022-05-01,공단동,0.003,0.008,0.3,0.052,32,17
2022-05-01,원평동,0.002,0.01,0.1,0.054,35,15
2022-05-01,형곡동,0.002,0.009,0.3,0.057,32,17
2022-05-01,4공단,0.002,0.009,0.2,0.055,35,15
2022-05-01,진미동,0.002,0.011,0.3,0.054,34,14
2022-06-01,공단동,0.003,0.013,0.5,0.036,34,22
2022-06-01,원평동,0.002,0.014,0.2,0.037,36,18
2022-06-01,형곡동,0.001,0.014,0.4,0.039,35,21
2022-06-01,4공단,0.002,0.011,0.3,0.04,35,19
2022-06-01,진미동,0.003,0.015,0.4,0.037,36,18
2022-07-01,공단동,0.004,0.006,0.3,0.033,20,11
2022-07-01,원평동,0.002,0.008,0.2,0.036,15,11
2022-07-01,형곡동,0.002,0.007,0.4,0.039,20,14
2022-07-01,4공단,0.002,0.006,0.1,0.036,23,10
2022-07-01,진미동,0.002,0.009,0.4,0.033,18,9
2022-08-01,공단동,0.004,0.008,0.023,0.3,19,13
2022-08-01,원평동,0.002,0.008,0.025,0.1,17,10
2022-08-01,형곡동,0.002,0.007,0.031,0.2,16,12
2022-08-01,4공단,0.001,0.006,0.028,0.1,21,8
2022-08-01,진미동,0.002,0.008,0.025,0.4,14,8
2022-09-01,공단동,0.002,0.011,0.023,0.3,20,12
2022-09-01,원평동,0.002,0.009,0.026,0.1,22,12
2022-09-01,형곡동,0.002,0.008,0.031,0.2,21,11
2022-09-01,4공단,0.001,0.007,0.027,0.2,18,8
2022-09-01,진미동,0.002,0.01,0.024,0.4,20,12
2022-10-01,공단동,0.002,0.011,0.023,0.3,20,12
2022-10-01,원평동,0.002,0.009,0.026,0.1,22,12
2022-10-01,형곡동,0.002,0.008,0.031,0.2,21,11
2022-10-01,4공단,0.001,0.007,0.027,0.2,18,8
2022-10-01,진미동,0.002,0.01,0.024,0.4,20,12
2022-11-01,공단동,0.002,0.023,0.017,0.4,42,29
2022-11-01,원평동,0.002,0.02,0.02,0.3,44,26
2022-11-01,형곡동,0.002,0.021,0.023,0.4,47,28
2022-11-01,4공단,0.003,0.017,0.024,0.2,40,21
2022-11-01,진미동,0.002,0.024,0.019,0.4,52,36
2022-12-01,공단동,0.002,0.018,0.016,0.6,36,24
2022-12-01,원평동,0.003,0.018,0.019,0.4,44,27
2022-12-01,형곡동,0.003,0.019,0.021,0.4,38,22
2022-12-01,4공단,0.003,0.015,0.021,0.4,34,20
2022-12-01,진미동,0.002,0.02,0.017,0.4,43,24
